image_id,matrix_index,rating,standardized_rating,normalized_rating,rank,standardized_rank,normalized_rank,parameter,std_error,ci_lower,ci_upper,p_value
2396871,162,0.005140476581272502,0.6861,0.6861,59,0.2915,0.7085,0.02844475398962787,0.3816751278574708,-0.7196247504057353,0.776514258384991,0.9405917840289084
2343531,53,0.005121321503475374,0.6625,0.6625,60,0.2965,0.7035,0.02471147062415881,0.36817195768835304,-0.6968923065626178,0.7463152478109354,0.9464866719660836
2368853,107,0.0051184935811679245,0.659,0.659,61,0.3015,0.6985,0.024159132060235962,0.368148584033507,-0.6973988336048552,0.7457170977253272,0.9476777230536753
2383460,131,0.00511654265988674,0.6565,0.6565,62,0.3065,0.6935,0.023777907947518648,0.346008211353505,-0.6543857246604742,0.7019415405555115,0.9452119835940553
2317284,17,0.005116529870569031,0.6565,0.6565,63,0.3116,0.6884,0.023775408342894492,0.29758694198923225,-0.5594842802254111,0.6070350969112001,0.9363215693673297
2401046,170,0.005114780069744633,0.6544,0.6544,64,0.3166,0.6834,0.02343336009068327,0.3112048780226147,-0.5865169926468221,0.6333837128281887,0.9399769603293111
2410043,186,0.005094729556504954,0.6296,0.6296,65,0.3216,0.6784,0.01950554381908394,0.31922562391680936,-0.6061651820001904,0.6451762696383584,0.9512774281409873
2381061,125,0.0050944072734164314,0.6292,0.6292,66,0.3266,0.6734,0.019442283683508383,0.336252674014499,-0.6396008470901969,0.6784854144572138,0.9538916421499406
2404804,176,0.005093448499356984,0.628,0.628,67,0.3317,0.6683,0.01925406467380465,0.3812904046794319,-0.7280613961485844,0.7665695254961937,0.9597262499159529
2358219,85,0.005093389138242167,0.6279,0.6279,68,0.3367,0.6633,0.019242410200271145,0.3364128241356558,-0.6401146090430213,0.6785994294435637,0.9543868332176502
2415569,199,0.005093373039875335,0.6279,0.6279,69,0.3417,0.6583,0.019239249555789543,0.0,0.019239249555789543,0.019239249555789543,0.0
2348722,63,0.005092347424662303,0.6266,0.6266,70,0.3467,0.6533,0.019037866605988673,0.38121882563308723,-0.728137301863517,0.7662130350754944,0.960170622971585
2407575,182,0.00509143730451131,0.6255,0.6255,71,0.3518,0.6482,0.018859127526634628,0.31914902925510635,-0.6066614755142938,0.6443797305675631,0.9528788977426492
2372606,113,0.00509069900437214,0.6246,0.6246,72,0.3568,0.6432,0.01871410881581282,0.4117687888196286,-0.7883378872283385,0.8257661048599642,0.9637501428480324
2382025,128,0.005088963555329558,0.6225,0.6225,73,0.3618,0.6382,0.018373144849823275,0.3567900373940846,-0.6809224784852816,0.7176687681849283,0.958930545806143
2358223,86,0.0050711013062368585,0.6004,0.6004,74,0.3668,0.6332,0.014856972908137993,0.39539012626759784,-0.7600934344190982,0.7898073802353742,0.9700261599988151
