image_id,matrix_index,rating,standardized_rating,normalized_rating,rank,standardized_rank,normalized_rank,parameter,std_error,ci_lower,ci_upper,p_value
498069,11,0.005291954328312343,0.8733,0.8733,12,0.0553,0.9447,0.057486574424943156,0.35677429178345854,-0.6417781880804201,0.7567513369303065,0.8719920437589628
2358947,88,0.005291807135400716,0.8731,0.8731,13,0.0603,0.9397,0.05745875956684355,0.3814177222797377,-0.6901062391667429,0.8050237583004299,0.8802555820590026
2396053,159,0.005290499969718753,0.8715,0.8715,14,0.0653,0.9347,0.057211712174318176,0.3567345898735853,-0.6419752360175761,0.7563986603662125,0.8725847934629698
2398851,166,0.005287560317530878,0.8679,0.8679,15,0.0704,0.9296,0.05665591041412317,0.32741585614512986,-0.5850673755976786,0.698379196425925,0.8626202968815608
2395971,158,0.005268922415918414,0.8449,0.8449,16,0.0754,0.9246,0.05312482502352075,0.39573121674524736,-0.722494107355378,0.8287437574024196,0.8932090672082877
2409779,184,0.005268776372709138,0.8447,0.8447,17,0.0804,0.9196,0.05309710678783872,0.3956834500230642,-0.7224282045359215,0.828622418111599,0.8932516445315697
498391,12,0.005266621373473198,0.842,0.842,18,0.0854,0.9146,0.05268800989032916,0.34594198595541714,-0.6253458233225496,0.730721843103208,0.8789479415331352
2406860,181,0.005248182615234133,0.8192,0.8192,19,0.0905,0.9095,0.04918080668248635,0.4118162778046831,-0.7579642660620342,0.8563258794270069,0.9049393336041953
2390624,149,0.00524717985030175,0.818,0.818,20,0.0955,0.9045,0.048989719440149036,0.41162604839816774,-0.757782510518801,0.8557619493990991,0.9052633847967142
2383872,132,0.00524382173381327,0.8138,0.8138,21,0.1005,0.8995,0.04834952954479011,0.35674615931162157,-0.6508600943289766,0.7475591534185568,0.8921934613128046
2356281,81,0.005243381967199769,0.8133,0.8133,22,0.1055,0.8945,0.04826566226685868,0.3813620688573308,-0.6991902577631939,0.7957215822969113,0.8992876638431837
2348072,61,0.005243091228011215,0.8129,0.8129,23,0.1106,0.8894,0.04821021193895228,0.41197109134611,-0.7592382897710841,0.8556587136489886,0.9068415985988894
2367829,105,0.005242515350077911,0.8122,0.8122,24,0.1156,0.8844,0.04810037033282397,0.3812241988535281,-0.6990853294552268,0.7952860701208748,0.8995946314922711
2324489,30,0.005242211970348796,0.8118,0.8118,25,0.1206,0.8794,0.04804249954230608,0.3814714796981973,-0.699627861795363,0.7957128608799752,0.8997794579354466
2352869,74,0.005240878131502587,0.8102,0.8102,26,0.1256,0.8744,0.047788025176360716,0.3461205187784459,-0.6305957259397127,0.7261717762924341,0.8901870014546431
2355303,79,0.005219681955336384,0.784,0.784,27,0.1307,0.8693,0.04373543047781852,0.3959816149388036,-0.7323742733422445,0.8198451342978814,0.9120539811705706
2345568,58,0.0052187788524127665,0.7829,0.7829,28,0.1357,0.8643,0.043562396743726244,0.3956156340401264,-0.7318299976958997,0.8189547911833521,0.9123198136064417
2375842,117,0.0052186356464474426,0.7827,0.7827,29,0.1407,0.8593,0.04353495585492216,0.35672531687899395,-0.6556338176015442,0.7427037293113885,0.9028668996129892
